Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-29 00:36:28,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-29 00:36:58,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-29 20:39:30,2022-05-29 20:40:18,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-29 20:39:30,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-29 20:40:18,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-29 20:40:18,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-29 21:05:17,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-29 21:08:01,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-29 21:08:11,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-29 21:08:41,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-29 21:15:42,2022-05-29 21:16:29,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-29 21:15:42,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-29 21:16:29,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-29 21:16:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-29 22:44:49,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-29 22:46:53,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-29 22:47:04,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-29 22:47:34,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-29 23:05:39,2022-05-29 23:06:27,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-29 23:05:39,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-29 23:06:27,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-29 23:06:27,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-30 00:35:11,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-30 00:41:24,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-30 00:41:34,-,-,Informational,100200,Mains run-up,,,Full Performance,,
