Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-23 07:32:02,2022-05-23 07:32:50,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-23 07:32:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-23 07:32:50,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-23 07:32:50,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-23 07:36:08,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-23 07:38:16,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-23 07:38:26,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-23 07:38:56,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-23 08:12:57,2022-05-23 08:13:44,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-23 08:12:57,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-23 08:13:44,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-23 08:13:44,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-23 08:17:26,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-23 08:18:34,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-23 08:18:45,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-23 08:19:15,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-23 09:51:41,2022-05-23 09:52:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-23 09:51:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-23 09:52:29,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-23 09:52:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
