Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-03-24 11:34:05,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 11:34:16,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 11:34:46,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 12:15:21,2022-03-24 12:16:08,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 12:15:21,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 12:16:08,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 12:16:08,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 12:21:00,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 12:22:24,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 12:22:35,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 12:23:05,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 12:40:44,2022-03-24 12:40:54,00:00:10,Warning,6525,4-20mA anemometer 2,,Warnings (27),,,
2022-03-24 12:40:44,2022-03-24 12:40:54,00:00:10,Warning,6635,4-20 mA vane 2,,Sensor error (21),,,
2022-03-24 12:40:47,2022-03-24 12:42:36,00:01:49,Stop,6530,Anemometer defect,RES notified SGRE about defect on 15/3/2022,Sensor error (21),Forced outage,09 (Int) Fault,
2022-03-24 12:40:47,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2022-03-24 12:42:36,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 12:42:36,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 12:48:43,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 12:51:48,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 12:51:59,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 12:52:29,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 13:33:41,2022-03-24 13:34:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 13:33:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 13:34:29,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 13:34:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 13:36:54,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 13:38:28,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 13:38:39,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 13:39:09,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 13:41:24,2022-03-24 13:42:11,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 13:41:24,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 13:42:11,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 13:42:11,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 13:46:23,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 13:47:46,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 13:47:57,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 13:48:27,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 15:30:32,2022-03-24 15:31:20,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 15:30:32,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 15:31:20,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 15:31:20,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 15:35:04,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 15:36:32,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 15:36:43,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 15:37:13,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 17:18:27,2022-03-24 17:19:15,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 17:18:27,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 17:19:15,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 17:19:15,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 17:26:51,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 17:28:41,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 17:28:52,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 17:29:22,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-24 17:42:08,2022-03-24 17:42:56,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-24 17:42:08,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-24 17:42:56,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-24 17:42:56,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-24 18:38:42,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-24 18:40:26,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-24 18:40:37,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-24 18:41:07,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-25 01:25:44,2022-03-25 01:26:32,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-25 01:25:44,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-25 01:26:32,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
